Marie Beatrice Schol-Schwarz
Marie Crous
Marie Curie
Marie Le Masson Le Golft
Marie Stopes
Marie Tharp
Marietta Blau
Marilyn Farquhar
Marilyn Tremaine
Marissa Mayer
Marjolein Kriek
Marjorie Courtenay-Latimer
Marjorie Lee Browne
Marjorie Sweeting
Marjory Stephenson
Marta Kwiatkowska
Martha Burton Woodhead Williamson
Martha Chase
Martha P. Haynes
Marthe Vogt
Mary-Claire King
Mary Adela Blagg
Mary Agnes Chase
Mary Allen Wilkes
Mary Anning
Mary Ball
Mary Buckland
Mary Cartwright
Mary Celine Fasenmyer
Mary Engle Pennington
Mary Everest Boole
Mary F. Lyon
Mary Gibson Henry
Mary Higby Schweitzer
Mary J. Rathbun
Mary Jane Irwin
Mary K. Gaillard
Mary Katharine Brandegee
Mary Kenneth Keller
Mary L. Boas
Mary L. Cleave
Mary L. Good
Mary Leakey
Mary Lee Woods
Mary Lua Adelia Davis Treat
Mary Murtfeldt
Mary P. Dolciani
Mary Parke
Mary Peters Fieser
Mary Shaw (computer scientist)
Mary Somerville
Mary Stuart MacDougall
Mary Tindale
Mary Vaux Walcott
Mary W. Gray
Mary Ward (scientist)
Mary Watson Whitney
Mary Whiton Calkins
Mary the Jewess
María Elena Galiano
María de los Ángeles Alvariño González
Mathilde Krim
Maud Cunnington
Maud Menten
Maureen C. Stone
Maxine D. Brown
Maxine Singer
Maya Paczuski
Mayana Zatz
Melba Phillips
Mercuriade
Meredith L. Patterson
Merit-Ptah
Merle Greene Robertson
Mildred Allen
Mildred Cohn
Mildred Dresselhaus
Mileva Marić
Mina Bissell
Ming C. Lin
Miriam Rothschild
Misha Mahowald
Molly Holzschlag
Monica S. Lam
Monique Adolphe
Morag Crichton Timbury
Muriel Wheldale Onslow
Myra Wilson
Myriam Sarachik
Myrtle Bachelder
Mária Telkes
Nalini Nadkarni
Nan Laird
Nancy Adams (botanist)
Nancy Andrews (biologist)
Nancy Davis Griffeth
Nancy Hafkin
Nancy Hopkins (scientist)
Nancy Leveson
Nancy Lynch
Nancy Wexler
Naomi Ginsberg
Naomi Oreskes
Nettie Stevens
Nichole Pinkard
Nicola Pellow
Nicole-Reine Lepaute
Nicole King
Nicole Marthe Le Douarin
Nina Andreyeva
Nina Bari
Nina Byers
Ninni Kronberg
Noemie Benczer Koller
Noreen Murray
Olga Aleksandrovna Ladyzhenskaya
Olga Holtz
Olga Lepeshinskaya (biologist)
Olivia Lum
Orna Berry
Ottoline Leyser
Pamela C. Rasmussen
Pamela J. Bjorkman
Pamela L. Gay
Pascale Cossart
Patricia Adair Gowaty
Patricia Baird
Patricia Bath
Patricia H. Clarke
Patricia Vickers-Rich
Patsy O'Connell Sherman
Pattie Maes
Paulien Hogeweg
Pauline Morrow Austin
Pauline Newman
Pearl Kendrick
Persis Drell
Petronella Johanna de Timmerman
Philippa Fawcett
Philippa Marrack
Phyllis Clinch
Phyllis Fox
Phyllis Starkey
Ping Fu
Pippa Greenwood
Polly Matzinger
Praskovya Uvarova
Rachel Carson
Rachel Fuller Brown
Radia Perlman
Rama Bansil
Rebecca Grinter
Rebecca J. Nelson
Reihaneh Safavi-Naini
Renata Kallosh
Renate Chasman
Renate Loll
Renu C. Laskar
Renée Miller
Rima Rozen
Rita Levi-Montalcini
Rita P. Wright
Rosa Beddington
Rosa Smith Eigenmann
Rosalind Franklin
Rosalind Picard
Rosalind Pitt-Rivers
Rosaly Lopes
Rosalyn Sussman Yalow
Rosemary A. Bailey
Roxana Moslehi
Ruby Hirose
Runhild Gammelsæter
Ruth Aaronson Bari
Ruth Arnon
Ruth Benedict
Ruth F. Allen
Ruth Hubbard
Ruth Lawrence
Ruth Patrick
Ruth R. Benerito
Ruth Turner
Ruzena Bajcsy
Rózsa Péter
Saba Valadkhan
Sabina Jeschke
Sabina Spielrein
Sallie W. Chisholm
Sally Floyd
Sally Ride
Sally Shlaer
